@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {pills_1,pills_10,pills_25,pills_50}

@DATA
0.178745,0.006800,1.556897,0.334721,0.222016,2.011788,0.002403,0.501233,-29.477421,-1.138432,-0.191186,-0.260834,0.032820,-0.035371,-0.203167,0.080644,0.029492,-0.211461,0.083639,0.023815,-0.039684,0.002298,0.003348,0.005140,0.002764,0.001587,0.001257,0.006728,0.001206,0.001048,0.001319,0.001586,0.001587,0.002992,0.035598,0.008386,0.657471,0.105220,0.065178,0.707563,0.001632,0.246341,2.859685,0.844170,0.596144,0.468573,0.381136,0.381337,0.350467,0.252180,0.237246,0.251001,0.218756,0.185073,0.158485,0.001882,0.002810,0.005630,0.002445,0.001329,0.001017,0.015534,0.001297,0.000862,0.001014,0.001236,0.001248,0.004882,pills_1
0.169587,0.005677,1.463602,0.350434,0.228404,2.243679,0.001688,0.550250,-29.028978,-1.318310,-0.224135,-0.244250,-0.124282,0.006930,-0.201235,0.037204,0.069316,-0.286621,0.083533,-0.017980,-0.107001,0.003197,0.003710,0.003173,0.002829,0.001532,0.001281,0.002617,0.001056,0.001190,0.001559,0.002054,0.002099,0.001659,0.029809,0.006466,0.677586,0.111212,0.063148,0.626890,0.000942,0.234631,2.178166,0.612682,0.497545,0.431108,0.363767,0.331307,0.282134,0.257382,0.260431,0.241603,0.205321,0.194078,0.183051,0.002592,0.002601,0.002409,0.002243,0.001009,0.000846,0.002846,0.000738,0.000800,0.001073,0.001551,0.001521,0.001045,pills_1
0.166892,0.009755,1.558012,0.343781,0.229085,2.032550,0.002707,0.512728,-28.704261,-1.385076,0.020230,-0.245373,-0.101969,0.127097,-0.303284,0.178024,-0.007413,-0.264846,0.119830,0.001449,-0.064863,0.002104,0.003535,0.005090,0.003319,0.001601,0.001108,0.004557,0.001349,0.000866,0.001051,0.001384,0.001372,0.002555,0.037422,0.010571,0.603641,0.113645,0.066068,0.823357,0.001784,0.271839,2.934210,0.910519,0.564034,0.350642,0.385362,0.370372,0.340717,0.265430,0.234659,0.263473,0.206057,0.186575,0.175996,0.001681,0.003107,0.005312,0.003120,0.001201,0.000781,0.007119,0.001180,0.000618,0.000691,0.001000,0.000914,0.002389,pills_1
0.170100,0.006637,1.368924,0.361133,0.237487,2.299620,0.001738,0.577908,-28.684796,-1.368993,-0.262724,-0.209474,-0.191560,-0.052585,-0.205131,0.048206,0.092125,-0.298137,0.058695,-0.016204,-0.104275,0.002979,0.003655,0.003176,0.002381,0.001479,0.001259,0.002375,0.001198,0.001360,0.001509,0.001987,0.002064,0.001483,0.033639,0.007889,0.627229,0.114169,0.063517,0.693807,0.000962,0.260424,2.538884,0.749985,0.520156,0.428473,0.401365,0.381258,0.297198,0.246706,0.264768,0.233662,0.191680,0.187835,0.154045,0.002538,0.003001,0.002324,0.001879,0.000981,0.000848,0.002300,0.000974,0.001176,0.001072,0.001722,0.001612,0.001044,pills_1
0.166728,0.008841,1.537892,0.316697,0.214547,1.869683,0.002763,0.433978,-29.487909,-1.735856,-0.207524,-0.244817,-0.226940,0.230578,-0.402770,0.261415,-0.035682,-0.207394,0.030286,0.009587,-0.033654,0.001886,0.002888,0.005666,0.005303,0.001304,0.000911,0.004975,0.001089,0.000859,0.001141,0.001212,0.001149,0.002756,0.034154,0.012774,0.595987,0.093241,0.066611,0.572813,0.001761,0.202096,2.693617,0.772284,0.576019,0.469163,0.384161,0.453342,0.374843,0.282572,0.202332,0.204264,0.172422,0.178546,0.169472,0.001393,0.002483,0.004699,0.005381,0.000824,0.000628,0.005803,0.000722,0.000675,0.000986,0.000964,0.000904,0.001947,pills_1
0.183495,0.005376,1.488670,0.355923,0.228646,2.196289,0.002017,0.545254,-29.424272,-1.062121,-0.232088,-0.397840,-0.059821,-0.135052,-0.082862,-0.020713,0.098153,-0.301163,0.086888,-0.036973,-0.054942,0.002278,0.003356,0.003078,0.002017,0.001363,0.001150,0.002026,0.000930,0.001555,0.001824,0.001573,0.001720,0.001559,0.027482,0.005772,0.662203,0.111158,0.062641,0.739881,0.001311,0.256659,2.559201,0.763226,0.432204,0.390140,0.356245,0.325857,0.299235,0.240165,0.210533,0.211733,0.188088,0.186660,0.185143,0.001836,0.002796,0.002160,0.001721,0.001112,0.000876,0.003955,0.000725,0.001313,0.001622,0.001142,0.001313,0.001344,pills_1
0.170971,0.007171,1.602038,0.321348,0.217592,2.001859,0.002398,0.475017,-30.003775,-1.053652,-0.111332,-0.124904,-0.044489,0.074315,-0.104252,-0.016428,0.136344,-0.298722,0.047168,0.006827,-0.059170,0.002619,0.004619,0.005369,0.002550,0.001472,0.001192,0.008206,0.000962,0.001080,0.001360,0.001957,0.001806,0.003268,0.032820,0.009848,0.759480,0.111158,0.064611,0.762651,0.001631,0.256904,3.868481,0.978240,0.535963,0.356403,0.427750,0.326390,0.280050,0.242431,0.234252,0.237191,0.195362,0.176430,0.163780,0.002033,0.004235,0.007043,0.002718,0.001090,0.000885,0.017326,0.000720,0.000812,0.000959,0.001556,0.001480,0.005095,pills_1
0.166409,0.008271,1.611212,0.370263,0.243819,2.227863,0.002079,0.595538,-28.306779,-1.496330,-0.329505,-0.082345,-0.281770,0.189831,-0.412345,0.207249,0.038269,-0.253371,0.082856,-0.038454,-0.048066,0.001989,0.003343,0.005640,0.004000,0.001190,0.000968,0.001948,0.000753,0.000887,0.001149,0.001535,0.001509,0.002111,0.043444,0.008159,0.529140,0.108011,0.060786,0.730519,0.001460,0.252582,2.117913,0.735915,0.434816,0.403578,0.360347,0.417465,0.313526,0.273486,0.231658,0.197982,0.174873,0.177227,0.141910,0.001625,0.003131,0.005282,0.003860,0.000718,0.000612,0.001906,0.000532,0.000627,0.000721,0.001177,0.001102,0.001669,pills_1
0.159852,0.016447,1.669528,0.344648,0.235985,1.943699,0.002635,0.490296,-28.593091,-1.805015,-0.008824,-0.269826,-0.218232,0.300767,-0.351287,0.189418,-0.004972,-0.180560,0.052182,-0.020147,-0.030807,0.002388,0.003824,0.006310,0.004626,0.001232,0.000880,0.005584,0.000984,0.000766,0.000889,0.001179,0.001410,0.003146,0.035107,0.019188,0.690057,0.102331,0.063192,0.670402,0.001660,0.234341,2.820348,0.733182,0.493929,0.478551,0.379096,0.411856,0.352213,0.300091,0.236574,0.249241,0.226673,0.188371,0.172486,0.002137,0.003930,0.005636,0.004351,0.000949,0.000818,0.006766,0.000756,0.000464,0.000611,0.000923,0.001251,0.002110,pills_1
0.169250,0.011626,1.584342,0.329006,0.224157,1.808420,0.003015,0.460996,-29.368906,-1.333717,-0.056151,-0.309848,-0.091247,0.078462,-0.200004,0.089396,0.028494,-0.246066,0.069345,-0.035475,-0.067416,0.002141,0.004913,0.005192,0.002702,0.001216,0.000858,0.003231,0.000888,0.000905,0.000891,0.001230,0.001330,0.002268,0.033471,0.013499,0.739368,0.114157,0.064007,0.801961,0.002191,0.270365,3.413741,0.787270,0.483569,0.424290,0.410481,0.452432,0.345701,0.263877,0.216816,0.270012,0.216884,0.183628,0.165269,0.001750,0.003975,0.005057,0.002570,0.001111,0.000641,0.004532,0.000752,0.000724,0.000780,0.001153,0.001009,0.001857,pills_1
0.226105,0.030347,2.478891,0.394827,0.256989,2.683473,0.001189,0.664046,-26.349910,-1.609946,-0.530558,-0.170154,-0.227372,0.008036,-0.246727,0.027160,0.034518,-0.233898,0.144794,-0.092270,-0.021630,0.002190,0.002147,0.002984,0.002923,0.001650,0.001632,0.001525,0.001496,0.001287,0.001367,0.001569,0.001876,0.001252,0.053177,0.036956,0.503572,0.093076,0.051881,0.539757,0.000654,0.228239,2.280175,0.686554,0.355265,0.287270,0.269274,0.231241,0.208336,0.240076,0.214066,0.224662,0.178615,0.174761,0.157365,0.001430,0.001765,0.002946,0.002549,0.000901,0.000866,0.001004,0.001021,0.000729,0.000828,0.001085,0.001208,0.000879,pills_10
